elem,num,mass,dens
H,1,1.0079,
He,2,4.0026,
Li,3,6.94,0.534
Be,4,9.01218,1.85
B,5,10.81,1.73
C,6,12.011,2
N,7,14.0067,
O,8,15.9994,
F,9,18.998,
Ne,10,20.17,
Na,11,22.9898,
Mg,12,24.305,1.741
Al,13,26.98154,2.7
Si,14,28.085,2.33
P,15,30.973,1.82
S,16,32.06,2.07
Cl,17,35.45,
Ar,18,39.94,1.7834
K,19,39.0983,0.86
Ca,20,40.08,1.55
Sc,21,44.9559,2.992
Ti,22,47.9,4.5
V,23,50.9415,5.98
Cr ,24,51.996,7.188
Mn,25,54.938,7.35
Fe,26,55.84,7.86
Co,27,58.9332,8.9
Ni,28,58.7,8.845
Cu,29,63.549,8.92
Zn,30,65.38,7.14
Ga,31,69.72,5.913
Ge,32,72.59,5.325
As,33,74.9216,5.73
Se,34,78.96,4.4
Br,35,79.904,3.1
Kr,36,83.3,
Rb,37,85.4678,1.53
Sr,38,87.62,2.6
Y,39,88.9059,4.45
Zr,40,91.22,6.52
Nb,41,92.9064,8.56
Mo,42,95.94,10.23
Tc,43,97,11.5
Ru,44,101.17,12.41
Rh,45,102.9055,12.41
Pd,46,106.4,12.03
Ag,47,107.868,10.49
Cd,48,112.41,8.642
In,49,114.82,7.31
Sn,50,118.69,5.8
Sb,51,121.75,6.69
Te,52,127.6,6.24
I,53,126.904,4.93
Xe,54,131.3,
Cs,55,132.9054,1.873
Ba,56,137.33,3.5
La,57,138.9055,6.19
Ce,58,140.12,6.7
Pr,59,140.9077,6.78
Nd,60,144.24,6.78
Pm,61,147,7.2
Sm,62,150.4,7.536
Eu,63,151.96,5.259
Gd,64,157.2,7.948
Tb,65,158.9254,8.272
Dy,66,162.5,8.56
Ho,67,164.93,8.803
Er,68,167.26,9.051
Tm,69,168.9342,9.332
Yb,70,173.04,6.977
Lu,71,174.97,9.872
Hf,72,178.49,13.31
Ta,73,180.947,16.64
W,74,183.8,19.3
Re,75,186.207,21.02
Os,76,1902,22.57
Ir,77,192.2,22.42
Pt,78,195.09,21.45
Au,79,196.9665,19.3
Hg,80,200.59,13.558
Tl,81,204.3,11.85
Pb,82,207.2,11.3437
Bi,83,208.9804,9.8
Po,84,209,9.32
At,85,210,
Rn,86,222,
Fr,87,223,
Ra,88,226.03,5
Ac,89,227.03,10.07
Th,90,232.0381,11.5
Pa,91,231.0359,15.37
U,92,238.029,19.05
Np,93,237.0482,20.45
Pu,94,244,19.816
Am,95,243,13.7
Cm,96,247,13.51
Bk,97,247,
Cf,98,251,
Es,99,254,
Fm,100,257,
Md,101,258,
No,102,259,
Lr,103,260,
Rf,104,104,
Db,105,105,
Sg,106,,
Bh,107,,
Hs,108,265,
Mt,109,268,
